Account,Businees Unit,Currency,Year,Scenario,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cost of Goods Sold,Advertising,USD,2016,Actuals,"($8,524,021)","($8,516,858)","($6,701,327)","($8,243,024)","($8,514,600)","($12,755,210)","($12,071,942)","($12,906,190)","($10,492,468)","($11,272,305)","($6,080,186)","($8,918,973)"
Commissions Expense,Advertising,USD,2016,Actuals,"($941,449)","($887,985)","($710,304)","($703,199)","($802,703)","($1,110,078)","($1,236,047)","($1,269,614)","($999,276)","($1,060,656)","($634,536)","($754,854)"
Payroll Expense,Advertising,USD,2016,Actuals,"($2,536,097)","($2,115,231)","($1,737,031)","($1,784,309)","($1,880,938)","($3,062,612)","($2,803,819)","($2,677,425)","($2,631,419)","($2,469,520)","($1,439,108)","($2,142,808)"
Travel & Entertainment Expense,Advertising,USD,2016,Actuals,"($205,336)","($194,814)","($193,218)","($183,673)","($189,826)","($284,932)","($280,179)","($311,287)","($285,374)","($296,625)","($142,198)","($226,382)"
R&D Expense,Advertising,USD,2016,Actuals,"($851,979)","($905,765)","($710,782)","($775,323)","($798,120)","($1,110,337)","($1,084,014)","($1,222,396)","($1,026,824)","($1,130,889)","($526,140)","($887,310)"
Consulting Expense,Advertising,USD,2016,Actuals,"($1,231,645)","($1,088,760)","($892,572)","($1,033,128)","($1,048,111)","($1,490,618)","($1,380,862)","($1,524,075)","($1,466,230)","($1,289,535)","($724,095)","($1,163,422)"
Software/Hardware Expense,Advertising,USD,2016,Actuals,"($1,760,584)","($1,456,013)","($1,085,771)","($1,337,440)","($1,406,326)","($2,265,055)","($1,986,127)","($2,165,067)","($1,996,836)","($1,966,531)","($1,083,014)","($1,464,640)"
Marketing Expense,Advertising,USD,2016,Actuals,"($487,605)","($439,530)","($319,530)","($366,239)","($365,704)","($593,597)","($645,238)","($588,468)","($508,124)","($492,524)","($271,335)","($390,316)"
Sales,Hardware,USD,2016,Actuals,"$31,845,794 ","$30,082,146 ","$18,590,909 ","$19,719,345 ","$31,899,203 ","$28,967,796 ","$35,768,219 ","$34,459,093 ","$27,231,867 ","$29,870,049 ","$16,952,765 ","$32,186,200 "
Cost of Goods Sold,Hardware,USD,2016,Actuals,"($13,200,712)","($12,724,470)","($8,005,672)","($8,313,897)","($13,789,811)","($12,486,225)","($14,967,747)","($16,272,271)","($13,336,587)","($14,070,961)","($7,089,539)","($13,748,549)"
Commissions Expense,Hardware,USD,2016,Actuals,"($1,382,258)","($1,379,467)","($909,010)","($890,247)","($1,385,535)","($1,190,803)","($1,478,432)","($1,441,730)","($1,319,597)","($1,318,334)","($716,994)","($1,489,139)"
Payroll Expense,Hardware,USD,2016,Actuals,"($3,529,710)","($3,352,789)","($2,066,872)","($2,137,102)","($3,900,848)","($3,360,650)","($4,456,741)","($4,184,978)","($2,924,927)","($3,047,539)","($1,933,137)","($3,711,354)"
Travel & Entertainment Expense,Hardware,USD,2016,Actuals,"($360,600)","($355,602)","($225,838)","($214,931)","($385,660)","($318,347)","($416,340)","($345,090)","($319,634)","($339,599)","($205,616)","($397,272)"
R&D Expense,Hardware,USD,2016,Actuals,"($1,448,404)","($1,354,372)","($843,964)","($793,282)","($1,336,026)","($1,175,987)","($1,479,244)","($1,546,344)","($1,131,760)","($1,471,727)","($821,928)","($1,349,035)"
Consulting Expense,Hardware,USD,2016,Actuals,"($1,648,622)","($1,786,593)","($1,136,110)","($1,080,438)","($1,938,602)","($1,649,632)","($1,997,676)","($2,104,863)","($1,516,483)","($1,584,186)","($985,271)","($1,919,097)"
Software/Hardware Expense,Hardware,USD,2016,Actuals,"($2,309,056)","($2,423,602)","($1,559,611)","($1,703,087)","($2,723,160)","($2,034,072)","($2,704,842)","($2,801,318)","($2,243,456)","($2,327,951)","($1,466,294)","($2,665,088)"
Marketing Expense,Hardware,USD,2016,Actuals,"($741,378)","($643,670)","($387,401)","($424,256)","($741,907)","($614,784)","($893,758)","($799,193)","($553,098)","($643,339)","($417,847)","($692,029)"
Sales,Software,USD,2017,Actuals,"$90,594,765 ","$64,091,321 ","$90,832,224 ","$90,566,899 ","$61,790,341 ","$89,637,185 ","$97,015,607 ","$57,860,421 ","$93,873,947 ","$56,762,897 ","$74,155,238 ","$99,732,691 "
Cost of Goods Sold,Software,USD,2017,Actuals,"($39,951,806)","($30,670,039)","($38,962,942)","($38,993,954)","($30,894,645)","($42,444,634)","($47,268,030)","($25,201,882)","($42,405,906)","($26,532,237)","($33,578,994)","($40,232,513)"
Commissions Expense,Software,USD,2017,Actuals,"($4,200,214)","($3,202,859)","($3,773,718)","($3,631,480)","($2,998,975)","($3,862,374)","($4,168,148)","($2,328,089)","($4,439,610)","($2,553,968)","($3,433,607)","($4,346,873)"
Payroll Expense,Software,USD,2017,Actuals,"($9,773,658)","($7,625,235)","($9,175,082)","($10,606,715)","($7,184,780)","($8,981,143)","($11,594,344)","($6,449,339)","($11,285,602)","($6,584,691)","($8,971,630)","($11,594,872)"
Travel & Entertainment Expense,Software,USD,2017,Actuals,"($1,011,934)","($681,792)","($964,632)","($1,071,676)","($618,377)","($935,846)","($1,181,022)","($585,603)","($1,064,714)","($640,750)","($863,683)","($1,014,103)"
R&D Expense,Software,USD,2017,Actuals,"($4,172,768)","($2,645,823)","($4,323,239)","($3,683,650)","($2,610,683)","($3,792,727)","($4,293,112)","($2,846,435)","($4,283,488)","($2,423,797)","($3,357,266)","($4,441,468)"
Consulting Expense,Software,USD,2017,Actuals,"($5,202,064)","($3,712,680)","($5,671,365)","($5,347,644)","($3,808,190)","($4,711,668)","($6,016,591)","($3,209,594)","($5,650,365)","($3,478,094)","($4,533,548)","($5,854,118)"
Software/Hardware Expense,Software,USD,2017,Actuals,"($6,815,756)","($4,840,574)","($6,818,595)","($6,537,701)","($4,506,878)","($6,673,167)","($7,844,506)","($4,267,450)","($7,389,303)","($4,761,855)","($5,368,585)","($7,437,361)"
Marketing Expense,Software,USD,2017,Actuals,"($2,126,102)","($1,571,597)","($1,909,683)","($1,950,375)","($1,267,839)","($2,206,505)","($2,311,953)","($1,337,686)","($2,110,424)","($1,215,239)","($1,688,551)","($2,310,478)"
Sales,Advertising,USD,2017,Actuals,"$21,742,744 ","$17,304,657 ","$23,616,378 ","$26,264,401 ","$14,211,778 ","$19,720,181 ","$19,403,121 ","$15,043,709 ","$25,345,966 ","$11,352,579 ","$19,280,362 ","$27,925,153 "
Cost of Goods Sold,Advertising,USD,2017,Actuals,"($9,733,073)","($7,319,150)","($9,538,845)","($10,780,711)","($6,715,269)","($7,919,308)","($9,007,474)","($6,627,053)","($11,225,719)","($5,419,873)","($8,415,726)","($11,619,625)"
Commissions Expense,Advertising,USD,2017,Actuals,"($997,908)","($722,794)","($1,156,017)","($1,160,645)","($583,037)","($890,851)","($877,624)","($615,771)","($1,070,440)","($566,381)","($923,583)","($1,264,328)"
Payroll Expense,Advertising,USD,2017,Actuals,"($2,275,216)","($1,900,402)","($2,684,124)","($2,725,657)","($1,725,315)","($2,308,388)","($2,313,499)","($1,869,056)","($2,612,036)","($1,255,719)","($2,164,141)","($3,382,499)"
Travel & Entertainment Expense,Advertising,USD,2017,Actuals,"($241,370)","($201,204)","($254,089)","($316,915)","($155,835)","($207,613)","($207,549)","($168,184)","($254,264)","($130,948)","($192,816)","($345,557)"
R&D Expense,Advertising,USD,2017,Actuals,"($981,507)","($800,779)","($1,036,791)","($1,126,434)","($689,387)","($851,864)","($847,534)","($648,186)","($1,181,485)","($521,786)","($908,073)","($1,316,006)"
Consulting Expense,Advertising,USD,2017,Actuals,"($1,260,803)","($887,301)","($1,380,264)","($1,318,077)","($739,907)","($1,082,894)","($1,002,999)","($928,770)","($1,457,766)","($689,135)","($1,121,473)","($1,741,924)"
Software/Hardware Expense,Advertising,USD,2017,Actuals,"($1,775,770)","($1,442,574)","($1,726,011)","($2,270,737)","($1,088,722)","($1,586,631)","($1,464,615)","($1,067,050)","($2,213,537)","($960,228)","($1,352,565)","($2,173,270)"
Marketing Expense,Advertising,USD,2017,Actuals,"($483,691)","($372,543)","($545,725)","($535,319)","($297,206)","($401,618)","($417,457)","($362,171)","($556,569)","($247,191)","($397,019)","($605,393)"
Sales,Hardware,USD,2017,Actuals,"$35,331,958 ","$24,354,702 ","$33,607,923 ","$36,226,760 ","$22,862,426 ","$33,165,758 ","$38,806,243 ","$17,358,126 ","$29,100,924 ","$19,299,385 ","$26,695,886 ","$31,914,461 "
Cost of Goods Sold,Hardware,USD,2017,Actuals,"($14,981,390)","($11,768,480)","($13,481,513)","($15,681,576)","($10,257,861)","($14,264,605)","($19,353,821)","($8,653,531)","($13,737,554)","($7,848,305)","($11,711,526)","($15,747,097)"
Commissions Expense,Hardware,USD,2017,Actuals,"($1,587,761)","($1,170,710)","($1,624,574)","($1,691,834)","($1,049,741)","($1,359,614)","($1,758,131)","($711,793)","($1,388,918)","($779,205)","($1,144,606)","($1,522,730)"
Payroll Expense,Hardware,USD,2017,Actuals,"($4,033,118)","($2,804,073)","($4,114,440)","($4,458,834)","($2,464,577)","($3,718,795)","($4,094,125)","($1,938,707)","($3,630,932)","($1,950,807)","($2,705,544)","($3,793,540)"
Travel & Entertainment Expense,Hardware,USD,2017,Actuals,"($398,121)","($274,894)","($376,456)","($391,528)","($237,490)","($368,441)","($448,153)","($216,891)","($307,907)","($218,441)","($324,610)","($329,602)"
R&D Expense,Hardware,USD,2017,Actuals,"($1,635,112)","($1,019,814)","($1,426,689)","($1,679,837)","($1,135,315)","($1,541,375)","($1,814,752)","($836,674)","($1,253,636)","($853,717)","($1,294,484)","($1,425,518)"
Consulting Expense,Hardware,USD,2017,Actuals,"($1,927,676)","($1,328,400)","($2,069,551)","($1,887,355)","($1,156,009)","($1,784,928)","($2,248,306)","($910,768)","($1,580,888)","($1,158,277)","($1,560,426)","($1,837,473)"
Software/Hardware Expense,Hardware,USD,2017,Actuals,"($3,044,114)","($1,819,545)","($2,617,322)","($2,755,287)","($1,805,785)","($2,873,587)","($2,847,737)","($1,476,154)","($2,221,842)","($1,549,413)","($2,203,496)","($2,541,935)"
Marketing Expense,Hardware,USD,2017,Actuals,"($776,342)","($495,765)","($711,063)","($748,765)","($469,993)","($773,003)","($859,144)","($386,918)","($662,455)","($414,101)","($546,738)","($757,113)"
Sales,Software,USD,2018,Actuals,"$66,435,319 ","$60,115,140 ","$90,236,987 ","$54,994,813 ","$77,231,074 ","$97,709,573 ","$64,318,085 ","$79,972,600 ","$62,710,249 ","$73,998,780 ","$82,673,488 ","$70,499,145 "
Cost of Goods Sold,Software,USD,2018,Actuals,"($27,104,860)","($25,436,907)","($38,384,450)","($23,720,725)","($36,998,377)","($46,943,978)","($31,836,477)","($36,494,840)","($29,353,102)","($35,974,519)","($40,171,071)","($30,494,072)"
Commissions Expense,Software,USD,2018,Actuals,"($2,713,289)","($2,643,762)","($4,018,302)","($2,737,615)","($3,424,073)","($4,573,850)","($2,772,432)","($3,672,921)","($2,644,431)","($3,537,843)","($4,098,546)","($3,359,690)"
Payroll Expense,Software,USD,2018,Actuals,"($8,280,603)","($6,867,597)","($10,628,214)","($6,468,370)","($8,682,088)","($11,568,082)","($7,856,495)","($8,885,299)","($6,676,267)","($8,373,131)","($8,920,804)","($8,578,713)"
Travel & Entertainment Expense,Software,USD,2018,Actuals,"($761,347)","($628,778)","($1,073,369)","($560,203)","($871,981)","($1,080,688)","($688,880)","($947,587)","($676,254)","($923,896)","($962,429)","($855,002)"
R&D Expense,Software,USD,2018,Actuals,"($3,297,070)","($2,664,533)","($3,735,439)","($2,501,090)","($3,836,860)","($4,417,304)","($2,616,145)","($3,898,946)","($2,650,136)","($3,476,472)","($3,736,829)","($3,209,049)"
Consulting Expense,Software,USD,2018,Actuals,"($3,652,403)","($3,552,663)","($5,623,204)","($3,054,682)","($4,799,777)","($5,403,494)","($3,641,178)","($4,648,622)","($3,871,484)","($4,221,212)","($4,985,822)","($4,096,376)"
Software/Hardware Expense,Software,USD,2018,Actuals,"($5,091,475)","($4,367,071)","($6,833,347)","($4,733,816)","($5,744,222)","($6,903,913)","($4,696,016)","($6,896,595)","($5,081,194)","($5,804,680)","($6,640,954)","($5,266,263)"
Marketing Expense,Software,USD,2018,Actuals,"($1,645,124)","($1,278,801)","($2,131,484)","($1,100,717)","($1,826,309)","($2,015,110)","($1,398,743)","($1,918,888)","($1,344,274)","($1,671,309)","($1,653,663)","($1,643,350)"
Sales,Advertising,USD,2018,Actuals,"$16,608,830 ","$16,832,239 ","$25,266,356 ","$10,998,963 ","$16,990,836 ","$25,404,489 ","$14,149,979 ","$23,991,780 ","$16,304,665 ","$19,979,671 ","$23,148,577 ","$19,739,761 "
Cost of Goods Sold,Advertising,USD,2018,Actuals,"($8,236,344)","($8,042,610)","($12,117,107)","($4,675,346)","($7,100,562)","($12,588,151)","($6,704,128)","($9,779,210)","($6,610,140)","($8,562,162)","($10,079,814)","($9,396,643)"
Commissions Expense,Advertising,USD,2018,Actuals,"($766,208)","($784,700)","($1,035,635)","($524,075)","($787,515)","($1,019,983)","($649,211)","($1,055,240)","($806,585)","($868,806)","($1,036,773)","($865,246)"
Payroll Expense,Advertising,USD,2018,Actuals,"($1,687,861)","($1,908,906)","($3,099,461)","($1,158,181)","($2,113,347)","($3,001,777)","($1,491,212)","($2,710,528)","($1,710,242)","($2,053,307)","($2,397,887)","($2,075,965)"
Travel & Entertainment Expense,Advertising,USD,2018,Actuals,"($178,587)","($177,141)","($265,218)","($116,156)","($182,402)","($286,611)","($172,955)","($254,330)","($201,909)","($219,276)","($272,949)","($226,471)"
R&D Expense,Advertising,USD,2018,Actuals,"($822,885)","($719,356)","($1,228,124)","($506,867)","($775,835)","($1,025,959)","($702,957)","($989,842)","($748,322)","($838,544)","($1,076,008)","($878,808)"
Consulting Expense,Advertising,USD,2018,Actuals,"($878,445)","($1,015,003)","($1,544,184)","($624,903)","($981,395)","($1,409,322)","($769,986)","($1,360,544)","($823,428)","($1,191,494)","($1,337,302)","($1,224,978)"
Software/Hardware Expense,Advertising,USD,2018,Actuals,"($1,383,309)","($1,184,231)","($2,046,108)","($895,975)","($1,219,125)","($2,071,773)","($1,049,534)","($1,731,716)","($1,319,856)","($1,570,667)","($1,745,114)","($1,554,713)"
Marketing Expense,Advertising,USD,2018,Actuals,"($372,008)","($360,544)","($570,065)","($262,663)","($396,364)","($550,129)","($307,493)","($531,975)","($399,869)","($436,804)","($506,081)","($467,366)"
Sales,Hardware,USD,2018,Actuals,"$22,588,008 ","$21,641,450 ","$27,071,096 ","$20,348,081 ","$30,120,119 ","$31,267,063 ","$23,797,691 ","$28,790,136 ","$23,829,895 ","$25,899,573 ","$33,069,395 ","$26,084,684 "
Cost of Goods Sold,Hardware,USD,2018,Actuals,"($10,265,791)","($9,595,925)","($12,320,892)","($9,627,717)","($12,962,874)","($13,064,551)","($9,571,992)","($12,221,156)","($11,418,990)","($12,077,910)","($16,179,555)","($10,510,360)"
Commissions Expense,Hardware,USD,2018,Actuals,"($1,109,715)","($990,616)","($1,310,557)","($982,150)","($1,364,098)","($1,391,285)","($1,187,160)","($1,378,779)","($1,128,203)","($1,221,475)","($1,462,497)","($1,098,303)"
Payroll Expense,Hardware,USD,2018,Actuals,"($2,815,912)","($2,488,177)","($2,965,661)","($2,283,610)","($3,049,013)","($3,229,385)","($2,723,303)","($3,347,966)","($2,808,206)","($2,898,991)","($3,824,182)","($3,110,761)"
Travel & Entertainment Expense,Hardware,USD,2018,Actuals,"($277,101)","($268,307)","($300,695)","($226,664)","($330,688)","($356,708)","($270,129)","($330,116)","($264,694)","($268,441)","($394,967)","($294,530)"
R&D Expense,Hardware,USD,2018,Actuals,"($1,046,413)","($1,064,705)","($1,317,015)","($983,951)","($1,474,255)","($1,337,033)","($1,172,106)","($1,205,747)","($1,043,533)","($1,076,071)","($1,635,486)","($1,206,801)"
Consulting Expense,Hardware,USD,2018,Actuals,"($1,137,395)","($1,145,692)","($1,437,771)","($1,170,661)","($1,752,088)","($1,811,436)","($1,373,270)","($1,462,352)","($1,439,071)","($1,542,875)","($1,812,241)","($1,339,934)"
Software/Hardware Expense,Hardware,USD,2018,Actuals,"($1,730,428)","($1,612,677)","($2,147,516)","($1,745,476)","($2,269,548)","($2,465,032)","($1,914,360)","($2,183,078)","($1,990,329)","($1,869,047)","($2,468,988)","($1,921,595)"
Marketing Expense,Hardware,USD,2018,Actuals,"($549,275)","($522,414)","($595,592)","($499,668)","($604,911)","($719,662)","($588,651)","($600,730)","($590,466)","($576,820)","($783,592)","($563,187)"
Sales,Software,USD,2019,Actuals,"$93,925,775 ","$74,821,680 ","$85,600,673 ","$76,646,440 ","$79,863,817 ","$55,912,270 ","$79,685,077 ","$75,122,784 ","$67,143,263 ","$86,159,862 ","$76,968,833 ","$69,967,979 "
Cost of Goods Sold,Software,USD,2019,Actuals,"($44,392,971)","($32,181,042)","($35,760,851)","($35,264,635)","($35,248,824)","($23,149,330)","($34,752,454)","($34,860,156)","($27,438,935)","($39,136,737)","($31,245,199)","($30,213,783)"
Commissions Expense,Software,USD,2019,Actuals,"($4,343,758)","($3,359,430)","($3,895,028)","($3,677,401)","($3,875,744)","($2,739,844)","($3,745,877)","($3,435,719)","($3,318,784)","($3,556,874)","($3,543,487)","($3,170,203)"
Payroll Expense,Software,USD,2019,Actuals,"($10,410,570)","($7,492,567)","($9,830,922)","($8,236,178)","($9,111,360)","($5,732,127)","($9,582,968)","($8,080,224)","($8,219,184)","($8,720,852)","($8,289,269)","($7,400,943)"
Travel & Entertainment Expense,Software,USD,2019,Actuals,"($1,013,731)","($791,949)","($1,022,834)","($918,382)","($840,954)","($561,209)","($939,529)","($768,568)","($832,059)","($975,463)","($913,816)","($775,184)"
R&D Expense,Software,USD,2019,Actuals,"($4,644,817)","($3,595,006)","($3,948,370)","($3,595,290)","($3,639,614)","($2,496,842)","($3,301,698)","($3,520,724)","($2,763,529)","($4,269,633)","($3,402,942)","($3,029,013)"
Consulting Expense,Software,USD,2019,Actuals,"($4,979,698)","($4,435,793)","($4,778,009)","($4,754,163)","($4,664,933)","($2,931,067)","($4,639,082)","($3,992,375)","($3,635,430)","($4,790,506)","($3,919,710)","($3,675,104)"
Software/Hardware Expense,Software,USD,2019,Actuals,"($7,407,369)","($6,226,870)","($7,033,820)","($6,283,426)","($6,682,029)","($4,138,949)","($5,590,768)","($5,268,218)","($4,841,180)","($6,750,935)","($6,303,933)","($5,630,389)"
Marketing Expense,Software,USD,2019,Actuals,"($1,956,457)","($1,720,137)","($2,128,417)","($1,672,934)","($1,630,486)","($1,155,823)","($1,933,737)","($1,641,920)","($1,480,543)","($1,809,342)","($1,570,718)","($1,633,705)"
Sales,Advertising,USD,2019,Actuals,"$20,663,671 ","$20,950,070 ","$25,680,202 ","$22,993,932 ","$16,771,402 ","$14,537,190 ","$22,311,822 ","$15,775,785 ","$15,442,950 ","$18,093,571 ","$16,933,143 ","$14,693,276 "
Cost of Goods Sold,Advertising,USD,2019,Actuals,"($8,508,915)","($10,304,746)","($12,517,373)","($9,859,051)","($6,865,712)","($6,772,562)","($8,950,825)","($7,590,684)","($7,132,203)","($7,942,616)","($7,868,673)","($6,027,183)"
Commissions Expense,Advertising,USD,2019,Actuals,"($907,552)","($996,432)","($1,050,172)","($1,007,411)","($685,653)","($720,826)","($924,673)","($770,345)","($734,261)","($899,147)","($808,478)","($706,131)"
Payroll Expense,Advertising,USD,2019,Actuals,"($2,448,583)","($2,391,536)","($2,851,891)","($2,338,942)","($1,988,754)","($1,512,300)","($2,373,330)","($1,709,943)","($1,561,720)","($2,224,218)","($2,066,473)","($1,477,534)"
Travel & Entertainment Expense,Advertising,USD,2019,Actuals,"($232,296)","($221,176)","($259,024)","($239,313)","($173,459)","($145,469)","($276,387)","($181,197)","($167,260)","($199,198)","($173,160)","($156,797)"
R&D Expense,Advertising,USD,2019,Actuals,"($896,638)","($945,985)","($1,072,491)","($1,138,580)","($765,907)","($590,365)","($926,585)","($715,140)","($691,264)","($778,336)","($702,619)","($644,524)"
Consulting Expense,Advertising,USD,2019,Actuals,"($1,036,658)","($1,191,081)","($1,453,675)","($1,419,262)","($938,782)","($763,861)","($1,141,341)","($909,348)","($801,672)","($1,077,622)","($899,513)","($770,599)"
Software/Hardware Expense,Advertising,USD,2019,Actuals,"($1,662,699)","($1,508,105)","($2,020,361)","($1,703,999)","($1,422,906)","($1,092,346)","($1,924,272)","($1,220,195)","($1,122,540)","($1,320,824)","($1,254,355)","($1,248,757)"
Marketing Expense,Advertising,USD,2019,Actuals,"($474,519)","($436,767)","($574,482)","($464,102)","($383,468)","($313,859)","($475,888)","($366,084)","($329,879)","($442,129)","($387,635)","($358,088)"
Sales,Hardware,USD,2019,Actuals,"$34,752,537 ","$24,691,154 ","$25,680,202 ","$26,826,254 ","$27,952,336 ","$21,246,663 ","$26,296,075 ","$23,288,063 ","$24,843,007 ","$31,017,550 ","$23,090,650 ","$22,389,753 "
Cost of Goods Sold,Hardware,USD,2019,Actuals,"($14,132,859)","($11,727,435)","($12,222,578)","($13,093,645)","($11,370,112)","($9,026,733)","($12,160,565)","($10,002,285)","($11,921,132)","($14,296,442)","($9,686,848)","($9,711,164)"
Commissions Expense,Hardware,USD,2019,Actuals,"($1,463,871)","($1,024,242)","($1,101,040)","($1,272,176)","($1,358,858)","($1,043,087)","($1,221,437)","($1,026,974)","($1,116,490)","($1,526,346)","($982,952)","($906,448)"
Payroll Expense,Hardware,USD,2019,Actuals,"($4,043,986)","($3,022,354)","($2,798,525)","($3,154,983)","($3,444,409)","($2,213,428)","($2,708,520)","($2,339,885)","($2,643,065)","($3,522,777)","($2,616,321)","($2,740,005)"
Travel & Entertainment Expense,Hardware,USD,2019,Actuals,"($381,615)","($267,722)","($278,956)","($268,977)","($338,877)","($238,395)","($279,772)","($248,213)","($268,330)","($320,068)","($282,749)","($231,541)"
R&D Expense,Hardware,USD,2019,Actuals,"($1,674,547)","($1,147,043)","($1,157,373)","($1,173,747)","($1,210,176)","($1,017,288)","($1,201,326)","($964,366)","($1,145,590)","($1,406,101)","($1,094,642)","($1,115,642)"
Consulting Expense,Hardware,USD,2019,Actuals,"($2,111,557)","($1,412,954)","($1,291,124)","($1,397,498)","($1,565,368)","($1,326,379)","($1,622,439)","($1,226,635)","($1,262,100)","($1,748,576)","($1,384,323)","($1,324,557)"
Software/Hardware Expense,Hardware,USD,2019,Actuals,"($2,621,552)","($2,126,728)","($2,055,611)","($2,208,062)","($2,194,136)","($1,668,825)","($2,109,233)","($1,880,439)","($1,804,729)","($2,534,420)","($1,619,891)","($1,722,891)"
Marketing Expense,Hardware,USD,2019,Actuals,"($803,681)","($503,961)","($633,831)","($642,450)","($677,962)","($500,671)","($593,208)","($566,165)","($563,553)","($626,673)","($507,695)","($465,617)"
Sales,Software,USD,2020,Actuals,"$71,093,649 ","$69,761,443 ","$67,749,499 ","$83,659,411 ","$50,706,283 ","$74,230,386 ","$51,880,363 ","$58,898,540 ","$56,982,904 ","$67,960,764 ","$58,782,343 ","$65,096,491 "
Cost of Goods Sold,Software,USD,2020,Actuals,"($34,103,526)","($30,206,863)","($27,470,575)","($34,682,066)","($21,826,243)","($32,436,605)","($23,222,375)","($28,728,685)","($23,629,340)","($28,163,573)","($24,647,818)","($28,092,094)"
Commissions Expense,Software,USD,2020,Actuals,"($3,016,900)","($2,897,074)","($2,761,210)","($3,560,904)","($2,517,220)","($3,437,933)","($2,249,876)","($2,890,523)","($2,817,192)","($3,178,807)","($2,858,642)","($2,855,070)"
Payroll Expense,Software,USD,2020,Actuals,"($8,603,051)","($8,541,760)","($7,322,344)","($9,801,852)","($5,175,406)","($9,241,021)","($5,986,060)","($6,079,566)","($5,882,738)","($8,279,558)","($7,285,772)","($6,906,703)"
Travel & Entertainment Expense,Software,USD,2020,Actuals,"($796,316)","($740,890)","($771,325)","($1,023,766)","($537,167)","($840,678)","($627,016)","($672,096)","($687,082)","($827,969)","($652,417)","($684,807)"
R&D Expense,Software,USD,2020,Actuals,"($3,002,990)","($3,340,409)","($3,004,524)","($3,551,194)","($2,323,218)","($3,371,500)","($2,449,904)","($2,845,127)","($2,572,883)","($3,307,355)","($2,605,638)","($2,647,248)"
Consulting Expense,Software,USD,2020,Actuals,"($4,083,940)","($4,181,857)","($4,200,785)","($4,354,377)","($2,601,329)","($4,369,202)","($2,990,522)","($3,089,502)","($3,010,004)","($3,493,197)","($3,343,278)","($3,550,075)"
Software/Hardware Expense,Software,USD,2020,Actuals,"($5,003,748)","($5,633,221)","($5,888,134)","($6,870,676)","($4,221,289)","($5,755,164)","($4,216,369)","($4,657,751)","($4,782,116)","($5,305,882)","($4,508,253)","($4,768,388)"
Marketing Expense,Software,USD,2020,Actuals,"($1,468,157)","($1,469,241)","($1,405,114)","($1,822,159)","($1,017,235)","($1,738,189)","($1,064,356)","($1,323,706)","($1,303,816)","($1,536,288)","($1,447,553)","($1,519,478)"
Sales,Advertising,USD,2020,Actuals,"$19,906,222 ","$18,137,975 ","$19,647,355 ","$25,097,823 ","$10,648,319 ","$21,526,812 ","$14,526,502 ","$16,491,591 ","$16,525,042 ","$13,592,153 ","$14,695,586 ","$13,019,298 "
Cost of Goods Sold,Advertising,USD,2020,Actuals,"($9,592,107)","($9,049,303)","($9,807,183)","($11,464,436)","($4,745,875)","($10,693,878)","($6,229,151)","($7,884,523)","($8,201,633)","($5,539,328)","($6,939,494)","($6,033,112)"
Commissions Expense,Advertising,USD,2020,Actuals,"($804,051)","($766,774)","($921,681)","($1,085,414)","($463,729)","($1,036,334)","($711,009)","($706,193)","($784,668)","($633,819)","($678,505)","($631,242)"
Payroll Expense,Advertising,USD,2020,Actuals,"($2,107,365)","($2,071,573)","($2,428,629)","($2,973,881)","($1,174,690)","($2,393,657)","($1,495,456)","($2,058,910)","($1,881,183)","($1,641,870)","($1,587,200)","($1,436,411)"
Travel & Entertainment Expense,Advertising,USD,2020,Actuals,"($211,617)","($211,295)","($229,589)","($270,401)","($122,946)","($258,829)","($176,747)","($187,172)","($194,172)","($161,178)","($149,018)","($141,587)"
R&D Expense,Advertising,USD,2020,Actuals,"($882,849)","($828,192)","($913,737)","($1,198,314)","($519,107)","($889,744)","($625,608)","($818,157)","($764,727)","($613,550)","($625,269)","($540,653)"
Consulting Expense,Advertising,USD,2020,Actuals,"($1,206,445)","($976,986)","($990,981)","($1,537,362)","($578,191)","($1,230,978)","($824,107)","($991,865)","($928,975)","($794,276)","($738,682)","($726,502)"
Software/Hardware Expense,Advertising,USD,2020,Actuals,"($1,691,907)","($1,377,291)","($1,682,587)","($2,080,797)","($912,271)","($1,790,551)","($1,201,477)","($1,331,378)","($1,375,724)","($1,029,583)","($1,099,874)","($971,165)"
Marketing Expense,Advertising,USD,2020,Actuals,"($405,268)","($427,770)","($436,628)","($571,749)","($215,818)","($475,706)","($313,756)","($370,356)","($361,297)","($302,763)","($310,799)","($262,708)"
Sales,Hardware,USD,2020,Actuals,"$23,460,904 ","$23,718,891 ","$24,389,820 ","$26,771,012 ","$19,268,388 ","$25,238,331 ","$19,195,734 ","$20,614,489 ","$21,083,674 ","$24,465,875 ","$19,398,173 ","$23,434,737 "
Cost of Goods Sold,Hardware,USD,2020,Actuals,"($11,301,138)","($11,040,566)","($11,385,210)","($12,065,519)","($8,004,994)","($11,169,399)","($8,198,056)","($9,583,888)","($8,854,962)","($10,326,236)","($8,135,464)","($9,435,110)"
Commissions Expense,Hardware,USD,2020,Actuals,"($1,040,217)","($1,037,564)","($1,012,661)","($1,187,032)","($888,831)","($1,025,650)","($897,572)","($943,461)","($945,482)","($1,126,584)","($946,140)","($985,301)"
